#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft Container Instance","Microsoft.ContainerInstance","WestIndia-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft DevTest Labs","microsoft.devtestlab","RegionalRP","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZonePreview","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_attatlanta1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_attdallas1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_eastus2euapmockedge","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_ezecustomerlabboston1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_ezecustomerlabhouston1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftb25lab1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftdclabs1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftlasvegas1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftlosangeles1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftmiami1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftnewyork1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftperth1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab2","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab3","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab4","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab5","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab6","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab7","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab8","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab9","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftrrdclab10","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_microsoftvancouver1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_onefleetedge1mockedge","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_southcentralusstgmockedge","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_vzwindsor1","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestlab","RegionalRP-CY","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-SN","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-DM","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-ML","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-PN","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-CW","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-SE","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-HK","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-DXB","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-CHN","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-YT","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-TY","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-BL","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-DB","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-JINW","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-MA","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-YQ","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-OS","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-CQ","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-NOE","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-DEWC","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-CH","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-SY","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-SG","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-BY","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-USW3","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-AM","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-LN","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-MWH","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-BN","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-QAC","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-PAR","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-CBR","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-SEC","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalRP-EastUS2EUAP","NotRegistered"
"-","Microsoft.Windows365","Windows365Int","NotRegistered"
"-","Microsoft.Windows365","Windows365Sh","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","KoreaSouth-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"-","Microsoft.Windows365","Windows365PPE","NotRegistered"
"-","Microsoft.Windows365","Windows365PROD","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","auh-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","den-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","cbr2-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","mrs-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","jinc-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","ps-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","cpt-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"MicrosoftElasticSan","Microsoft.ElasticSan","AllowTargetStampSpecification","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","EnableAzureSiteRecoveryAlertsToAzureMonitor","NotRegistered"
"Microsoft.HybridNetwork","Microsoft.HybridNetwork","Routing-CanarySwedenCentral","NotRegistered"
"Microsoft.HybridNetwork","Microsoft.HybridNetwork","Routing-CanaryWestUS3","NotRegistered"
"Microsoft Search","Microsoft.Search","ng-28d32201-d1ad-47ab-9a4a-3de2dcb6ea2a","NotRegistered"
"Microsoft Key Vault","Microsoft.KeyVault","MHSM_IncreasedQuota","NotRegistered"
"Microsoft Compute","Microsoft.Compute","DenyComputeGallerySharing","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFLargeVolumesCRR","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFOnPremMigrationViaReplication","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","AzureServicesVm","NotRegistered"
"Microsoft.HybridConnectivity","Microsoft.HybridConnectivity","publicCloudPreviewAccess","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFAntiRansomware","NotRegistered"
"Microsoft Databricks","Microsoft.Databricks","DatabricksTestEnvSlot3","NotRegistered"
"Microsoft Event Grid","Microsoft.EventGrid","StorageNotificationContractV2","NotRegistered"
"Microsoft.ModSimWorkbench","Microsoft.ModSimWorkbench","PrivatePreview_03012021","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFNFSV4IDDomain","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_cvxhou1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_attlosangeles1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_sgxsingapore1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_attdetroit1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZone_attnewyork1","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AzureServiceMeshPreview","NotRegistered"
"Microsoft Operations Management","Microsoft.OperationsManagement","cpt-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Azure Log Analytics","Microsoft.OperationalInsights","cpt-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","cpt-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","den-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Azure Log Analytics","Microsoft.OperationalInsights","den-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Operations Management","Microsoft.OperationsManagement","den-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Operations Management","Microsoft.OperationsManagement","cdm-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Azure Log Analytics","Microsoft.OperationalInsights","cdm-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","cdm-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","ArcAutomatedOnboarding","NotRegistered"
"Microsoft Cache","Microsoft.Cache","plc-59fe8ab9-6707-4b3c-afb0-f5ed4214b531","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFOracleVolumeGroup","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFLargeVolumesMaxSize","NotRegistered"
"Microsoft.HDInsight","Microsoft.HDInsight","HiloPrivateRPaaS","NotRegistered"
"Microsoft.HDInsight","Microsoft.HDInsight","HiloLoadTesting","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","plc-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
,"Private.ModsimWorkbench","hiddenRp","NotRegistered"
"Microsoft.DataBoxEdge","Microsoft.DataBoxEdge","AseVmMarketplaceAllowed","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","bm-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","ConveyorCoreLibOrchestration","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowApplicationGatewayBasicSku","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","customName","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","Routing-TestInProduction-EastUS-1","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","Routing-TestInProduction-EastUS-2","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","Routing-TestInProduction-EastUS-3","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableCloudServiceExtensionNetworkingResources","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowApplicationGatewayManagedHSM","NotRegistered"
"-","Microsoft.EnergyDataPlatform","MEDSV2PrivatePreview","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","GranularBillingInfo","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableRnmAllocationsApi","NotRegistered"
"Microsoft Devices","Microsoft.Devices","AzureIotInternalSubscriptions","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBforMySQL","enableMySqlLearningCenter","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","Face.Snapshot","NotRegistered"
"Microsoft Compute","Microsoft.Compute","ResourceBasedThrottling","NotRegistered"
"Microsoft.Easm","Microsoft.Easm","DataConnectionAccess","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","AllowAzureStackHci","NotRegistered"
"Microsoft Azure Monitor","Microsoft.insights","TenantActionGroup","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableSubnetCapacityPrevalidation","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","Srmr","NotRegistered"
"Microsoft Web Apps","Microsoft.Web","SouthAfricaNorthRegionEnabled","NotRegistered"
"Microsoft Azure Monitor","microsoft.insights","ActivityLogLAQSCanary","NotRegistered"
"Microsoft Azure Monitor","microsoft.insights","ActivityLogLAQS","NotRegistered"
"Microsoft App Configuration","Microsoft.Appconfiguration","plc-45a7d954-eede-467d-b4f9-1f77feeec23c","NotRegistered"
"Microsoft Portal","Microsoft.Portal","DashboardsV2","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","jinc-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","cpt-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","cbr-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","cbr2-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","ps-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","mrs-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","den-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","auh-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_eastus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_australiaeast","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_francesouth","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_centralindia","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_southindia","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_japaneast","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_jioindiawest","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_koreacentral","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_northeurope","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_norwayeast","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_southcentralus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_swedencentral","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_switzerlandnorth","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_switzerlandwest","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_uaenorth","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_westcentralus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_westus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_westus3","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_qatarcentral","NotRegistered"
"Microsoft Compute","Microsoft.Compute","Gen2ToTLMigrationPreview","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServiceFabricMesh","uste-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Azure Log Analytics","Microsoft.OperationalInsights","plc-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","plc-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft Operations Management","Microsoft.OperationsManagement","plc-fe63f845-4aee-4313-9b2e-3a8a2fe61897","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDB","AllVersionsAndDeletesChangeFeed","NotRegistered"
"-","Microsoft.DatabaseInsights","DatabaseWatcherPreviewAccess","NotRegistered"
"Microsoft Cache","Microsoft.Cache","TiP","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableIPv6VpnGateway","NotRegistered"
"Microsoft Apps","Microsoft.App","WorkloadProfiles","NotRegistered"
"Microsoft Azure Monitor","microsoft.insights","OTLPIngestion","NotRegistered"
"Microsoft Compute","Microsoft.Compute","InGuestPatchImageCheckBypassPartnerTeamInternalUseOnly","NotRegistered"
"Microsoft Batch","Microsoft.Batch","plc-58aa8ff2-5d53-444a-8026-1610fb23c30f","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","upgrade","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKS-AzurePolicyMutation","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","AllowRanPreview","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_eastus","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKSWindows2022Gen2Preview","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowApplicationGatewayHttp3Listener","NotRegistered"
"Azure Log Analytics","microsoft.operationalInsights","BcdrEnabled","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","allowMySqlChangesDuringRestore","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","OpenAI.RAIPolicyTest","NotRegistered"
"Azure Digital Twins","Microsoft.DigitalTwins","NspEarlyAccess","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowNetworkVerifier","NotRegistered"
"Microsoft API Management","Microsoft.ApiManagement","plc-6ba70dfa-ead9-4cc1-b894-049f8a17c22b","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","brse-7189fb51-dab4-404e-a38a-ba138ac9ce42","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_westus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_eastus2","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_centralus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_southcentralus","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_westus2","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_westus3","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMigrationsv2_northcentralus","NotRegistered"
"Microsoft.Syntex","Microsoft.Syntex","AccountsPrivatePreview","NotRegistered"
"Microsoft DevTest Labs","Microsoft.DevTestLab","RegionalTest","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","NodeOsUpgradeChannelPreview","NotRegistered"
"Microsoft Apps","Microsoft.App","SpringboardApps","NotRegistered"
"Microsoft Compute","Microsoft.Compute","ConfidentialVMTdxStatelessPreview","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableGeoDataEncryption","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFShortTermClone","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServicefabricMesh","brse-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft ServiceFabricMesh","Microsoft.ServicefabricMesh","plc-1a113496-2837-4f5c-bf90-133dd0b626db","NotRegistered"
"Microsoft Storage","Microsoft.Storage","OnlyNspPreview","NotRegistered"
"Microsoft.NetworkCloud","Microsoft.NetworkCloud","EnableOperatorNexus","NotRegistered"
"Microsoft Automanage","Microsoft.Automanage","AuditOnlyAssignments","NotRegistered"
"Microsoft.StorageMover","Microsoft.StorageMover","PrivatePreview","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDB","EnableCrossRegionRestorePortalUX","NotRegistered"
"Microsoft Event Grid","Microsoft.eventgrid","RpAdminInteractionFeature","NotRegistered"
"Microsoft Search","Microsoft.Search","plc-28d32201-d1ad-47ab-9a4a-3de2dcb6ea2a","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableSharedCustomDomain","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBforMySQL","enableMajorVersionUpgrade","NotRegistered"
"-","Microsoft.DataReplication","HVMTAZStackHCIWAM","NotRegistered"
"Microsoft.DeviceUpdate","Microsoft.DeviceUpdate","AzureDeviceUpdateCMK","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","PrivateStampAccessA","NotRegistered"
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics","ASAOneLakeFqdnMSIT","NotRegistered"
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics","ASAOneLakeFqdnDXT","NotRegistered"
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics","ASAOneLakeFqdnDaily","NotRegistered"
"Microsoft Compute","Microsoft.Compute","UsePrivelegedMR","NotRegistered"
"Microsoft.AVS","Microsoft.AVS","Autoscale","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableWorkbooks","NotRegistered"
"Microsoft Azure Lab Services","Microsoft.LabServices","AllowV2Bastion","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableOnlineMigrationsv2","NotRegistered"
"Microsoft.OperatorVoicemail","Microsoft.OperatorVoicemail","OperatorVoicemailInternalTest","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enablePowerBI","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowUpdateBgpCommunityInPeeredVnets","NotRegistered"
"Microsoft.DatabaseWatcher","Microsoft.DatabaseWatcher","DatabaseWatcherPreviewAccess","NotRegistered"
"Microsoft.HybridNetwork","Microsoft.HybridNetwork","Allow-2023-04-01-preview","NotRegistered"
"Microsoft Container Service","Microsoft.ContainerService","mys-f1d1800e-d38e-41f2-b63c-72d59ecaf9c0","NotRegistered"
"Microsoft.UsageBilling","Microsoft.UsageBilling","PrivatePreviewStageParticipation","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","AllowBaseVM","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","openAIModels.dv-ppo","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableNegativeCaching","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableMajorVersionUpgrade_uksouth","NotRegistered"
"Dynatrace.Observability","Dynatrace.Observability","MPSaaSCanary","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","enableKernelBootOptions","NotRegistered"
"Microsoft Apps","Microsoft.App","Jobs","NotRegistered"
"Microsoft.IoTFirmwareDefense","Microsoft.IoTFirmwareDefense","StagingWEU","NotRegistered"
"Microsoft Azure Monitor","Microsoft.Insights","enabledcrdiagnostics","NotRegistered"
"Microsoft Storage","Microsoft.Storage","disableAnonymousAccessForNewStorageAccounts","NotRegistered"
"Microsoft Storage","Microsoft.Storage","EnableAnonymousAccessForNewStorageAccounts","NotRegistered"
"Microsoft Maintenance Service","Microsoft.Maintenance","InGuestPatchDynamicScope","NotRegistered"
"Microsoft.AzurePlaywrightService","Microsoft.AzurePlaywrightService","PlaywrightServicePublicPreviewRegions","NotRegistered"
"Microsoft Azure Lab Services","Microsoft.LabServices","AllowStandard_NV4as_v4","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","AllowAzureEdgeNetworkFabricCustomer","NotRegistered"
"Microsoft Compute","Microsoft.Compute","VmssAllowRegionalToZonalMigration","NotRegistered"
"Microsoft Compute","Microsoft.Compute","VmssAllowExpansionOfAvailabilityZones","NotRegistered"
"Microsoft Compute","Microsoft.Compute","VmssFlexAllowExpansionOfAvailabilityZones","NotRegistered"
"Microsoft Compute","Microsoft.Compute","VmssFlexAllowRegionalToZonalMigration","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","NRGLockdownPreview","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","NetworkObservabilityPreview","NotRegistered"
"Microsoft Event Grid","Microsoft.EventGrid","AzureMonitorAlertAsDestination","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableCapacityBasedLoadBalancingForPrivatePreview","NotRegistered"
"Microsoft Event Grid","Microsoft.EventGrid","DummyFeatures","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","OpenAIFinetune.WestEurope","NotRegistered"
"Microsoft.Quota","Microsoft.Quota","AlternativeRecommendations","NotRegistered"
"Microsoft Automanage","Microsoft.Automanage","AutomanageConformanceRollup","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_australiacentral","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_australiacentral2","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_brazilsoutheast","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_germanynorth","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_norwaywest","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_polandcentral","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","enableMajorVersionUpgrade_southafricawest","NotRegistered"
