#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft Resources","Microsoft.Resources","AzureEdgeZoneAtlantaA","NotRegistered"
"Machine Learning Services Resource Provider","Microsoft.MachineLearningServices","mastertestsfeature","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowApplicationGatewayTlsProxy","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","flexibleServerGeoRestore","NotRegistered"
"Microsoft Storage","Microsoft.Storage","PremiumFilesPaidBursting","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","flexibleServerBcdrNetworking","NotRegistered"
"Microsoft Network","Microsoft.Network","DisableForceAccelNetForOvlVms","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","citusDeleteBlade","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL","marlinisallowedwcus","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFSingleFileBackupRestore","NotRegistered"
"Azure Data Box","Microsoft.DataBox","EnableCustomerDiskSku_India","NotRegistered"
"Microsoft Databricks","Microsoft.Databricks","EnableServiceFabricRP","NotRegistered"
"Microsoft Network","Microsoft.Network","AzureFirewallBasic","NotRegistered"
"Microsoft.ServiceLinker","microsoft.servicelinker","Dogfood","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","SAPHANAHSR","NotRegistered"
"NGINX.NGINXPLUS","NGINX.NGINXPLUS","prodAccess","NotRegistered"
"Microsoft Storage","Microsoft.Storage","PremiumToHotTiering","NotRegistered"
"Microsoft Compute","Microsoft.Compute","UsePreprovisionedVMsForConfidentialVMs","NotRegistered"
"Microsoft Network","Microsoft.Network","AuxiliaryAttachedModeEnabled","NotRegistered"
"Microsoft Compute","Microsoft.Compute","G8LMLIDedicatedHost","NotRegistered"
"Microsoft Kubernetes Configuration","Microsoft.KubernetesConfiguration","Namespaces","NotRegistered"
"Microsoft Security","Microsoft.Security","Governance","NotRegistered"
"Microsoft.Dashboard","Microsoft.Dashboard","InternalRegions","NotRegistered"
"Microsoft Network","Microsoft.Network","vWANNFVRPMigrationSEC","NotRegistered"
"Microsoft Network","Microsoft.Network","vWANNFVRPMigrationSES","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowPrivateEndpointCustomNicName","NotRegistered"
"Microsoft Network","Microsoft.Network","VNetEncryptionCustomerManagedCert","NotRegistered"
"Microsoft Portal","Microsoft.Portal","extensionspreview","NotRegistered"
"-","Microsoft.EdgeZones","canary","NotRegistered"
"Microsoft Domains","Microsoft.DomainRegistration","RegionalizeRp","NotRegistered"
"Microsoft Certificates","Microsoft.CertificateRegistration","RegionalizeResourceProvider","NotRegistered"
"Microsoft Domains","Microsoft.DomainRegistration","RegionalizeResourceProvider","NotRegistered"
"Azure Data Box","Microsoft.DataBox","EnableCustomerDiskSku_US","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-CVRead","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-CVRead","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-CVRead","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-STT","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-STT","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-STT","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier1-NTTS","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier23-NTTS","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","CommitmentTierDCTier4-NTTS","NotRegistered"
