ProviderNamespace                                            Operation                                                                                            OperationName                                                                                        IsDataAction
Microsoft API Management                                     Microsoft.ApiManagement/service/quotas/read                                                          Get quota values                                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/quotas/write                                                         Set quota counter                                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/read                                                                 Read metadata for an API Management Service instance                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/regions/read                                                         List of all azure regions in which the service exists.                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/reports/read                                                         Get by time report or Get by region report or Get by developer repoer or Get by product report or Get by API report or Get by operation report or Get by subscription report or Get requests data report False
Microsoft API Management                                     Microsoft.ApiManagement/service/restore/action                                                       Restore API Management Service                                                                       False
Microsoft API Management                                     Microsoft.ApiManagement/service/schemas/delete                                                       Remove schema                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/schemas/read                                                         Get schemas list or Get schema details                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/schemas/write                                                        Create schema                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/settings/read                                                        Get portal settings                                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/delete                                                 Delete subscription                                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/listSecrets/action                                     Get subscripiton keys                                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/read                                                   Get subscriptions list or Get subscripiton details                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/regeneratePrimaryKey/action                            Regenerate subscription PK                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/regenerateSecondaryKey/action                          Regenerate subscription SK                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/subscriptions/write                                                  Subscribe to product or Update subscription                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/tagResources/read                                                    Get Tags Resources                                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/tags/delete                                                          Remove Tag                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tags/read                                                            Get Tags list or Tag details                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/tags/write                                                           Add Tag or Update Tag                                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/templates/delete                                                     Reset default email template                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/templates/read                                                       Get email templates or Get email template details                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/templates/write                                                      Create or update email template or Update email template                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/delete                                                        Remove tenant policy configuration                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/deploy/action                                                 Runs a deployment task to apply changes from the specified git branch                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/listSecrets/action                                            Get tenant access information                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/operationResults/read                                         Get operation results or Get operation result                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/read                                                          Get tenant access settings or Get tenant policy configuration or Get tenant access information       False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/regeneratePrimaryKey/action                                   Regenerate primary key                                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/regenerateSecondaryKey/action                                 Regenerate secondary key                                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/save/action                                                   Creates commit with configuration snapshot                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/syncState/read                                                Get status of last synchronization                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/validate/action                                               Validates changes from the specified branch                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenant/write                                                         Set tenant policy configuration or Update tenant access information or Update tenant access information False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/diagnostics/delete                                      Remove diagnostic                                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/diagnostics/read                                        Get diagnostics list or Get diagnostic details                                                       False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/diagnostics/write                                       Add diagnostic or Update diagnostic                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/delete                                       Remove API operation                                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/policies/delete                              Remove API Operation policy configuration from policies                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/policies/read                                Get API Operation policies or Get API operation policy configuration                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/policies/write                               Set API operation policy configuration                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/read                                         Get API operations or Get API operation details                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/tags/delete                                  Delete Tag with Operation association                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/tags/read                                    Get tags associated with the Operation or Tag details                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/tags/write                                   Associate Tag with Operation                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operations/write                                        Create API operation or Update API operation                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/operationsByTags/read                                   Get Operation-Tag associations list                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/policies/delete                                         Remove API policy configuration from policies                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/policies/read                                           Get API policies or Get API policy configuration                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/policies/write                                          Set API policy configuration                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/products/read                                           Get products associated with the API                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/releases/delete                                         Removes all releases of the API or Delete API release                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/releases/read                                           Get revisions for an API or Get API release details                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/releases/write                                          Create API release or Update API release                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/revisions/delete                                        Delete revisions of an API                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/revisions/read                                          Get revisions for an API                                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/schemas/delete                                          Removes schema for the API                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/schemas/read                                            Gets the schemas stored for a given API or Gets schemas for the API                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/schemas/write                                           Sets schema used by the API                                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tagDescriptions/delete                                  Remove Tag                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tagDescriptions/read                                    Tags descriptions in scope of API or Get Tag metadata                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tagDescriptions/write                                   Create/Change Tag metadata                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tags/delete                                             Remove Tag                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tags/read                                               Get tags associated with the API or Get Tag associated with API                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/apis/tags/write                                              Add Tag                                                                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/keys/delete                                                  Delete key                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/keys/read                                                    Get keys list or Get key details                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/keys/regeneratePrimaryKey/action                             Regenerate PK                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/keys/regenerateSecondaryKey/action                           Regenerate SK                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/tenants/keys/write                                                   Create a Key or Update Key                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/updatecertificate/action                                             Upload SSL certificate                                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/updatehostname/action                                                Update domain names                                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/action                                                         Register new user                                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/confirmations/send/action                                      Send                                                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/delete                                                         Remove user                                                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/generateSsoUrl/action                                          Generage SSO URL                                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/groups/read                                                    Get user groups list                                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/identities/read                                                List of user Identities.                                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/keys/read                                                      Get user keys                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/read                                                           Get users list or Get user details                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/subscriptions/read                                             Get user subscriptions list                                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/token/action                                                   Get token                                                                                            False
Microsoft API Management                                     Microsoft.ApiManagement/service/users/write                                                          Register new user or Update user                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/delete                                               Remove API                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/delete                                    Remove API operation                                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/policies/delete                           Remove API Operation policy configuration from policies                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/policies/read                             Get API Operation policies or Get API operation policy configuration                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/policies/write                            Set API operation policy configuration                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/read                                      Get API operations or Get API operation details                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/tags/delete                               Delete Tag with Operation association                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/tags/read                                 Get tags associated with the Operation or Tag details                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/tags/write                                Associate Tag with Operation                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operations/write                                     Create API operation or Update API operation                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/operationsByTags/read                                Get Operation-Tag associations list                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/policies/delete                                      Remove API policy configuration from policies                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/policies/read                                        Get API policies or Get API policy configuration                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/policies/write                                       Set API policy configuration                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/products/read                                        Get products associated with the API                                                                 False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/read                                                 Get API list or Get API details                                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/schemas/delete                                       Removes schema for the API                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/schemas/document/read                                Get the document for the schema                                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/schemas/document/write                               Update the document for the schema                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/schemas/read                                         Gets the schemas stored for a given API or Gets schemas for the API                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/schemas/write                                        Sets schema used by the API                                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tagDescriptions/delete                               Remove Tag                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tagDescriptions/read                                 Tags descriptions in scope of API or Get Tag metadata                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tagDescriptions/write                                Create/Change Tag metadata                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tags/delete                                          Remove Tag                                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tags/read                                            Get tags associated with the API or Get Tag associated with API                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/tags/write                                           Add Tag                                                                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apis/write                                                Create API or Update API                                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apiVersionSets/delete                                     Remove VersionSet                                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apiVersionSets/read                                       Get version set list or Get versionSet details                                                       False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apiVersionSets/versions/read                              Get VersionSet version entity list                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/apiVersionSets/write                                      Create VersionSet or Update VersionSet                                                               False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/delete                                                    Remove Workspace                                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/namedValues/delete                                        Remove named value                                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/namedValues/listValue/action                              Get the value                                                                                        False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/namedValues/read                                          Get all named values or Get named value details                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/namedValues/refreshSecret/action                          Refresh certificate from KeyVault                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/namedValues/write                                         Create named value or Update named value                                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/apis/delete                                      Remove API from product                                                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/apis/read                                        Get product APIs list                                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/apis/write                                       Add API to product                                                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/delete                                           Remove product                                                                                       False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/groups/delete                                    Delete group with product association                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/groups/read                                      Get product groups list                                                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/groups/write                                     Associate group with product                                                                         False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/policies/delete                                  Remove Product policy configuration from policies                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/policies/read                                    Get Product policies or Get Product policy configuration                                             False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/policies/write                                   Set Product policy configuration                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/read                                             Get product list or Get product details                                                              False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/subscriptions/read                               Get product subscriptions list                                                                       False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/tags/delete                                      Delete Tag with Product association                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/tags/read                                        Get product tags or Tag details                                                                      False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/tags/write                                       Associate Tag with Product                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/products/write                                            Create product or Update product                                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/read                                                      Get list of Workspaces or Workspace details                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/delete                                      Delete subscription                                                                                  False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/listSecrets/action                          Get subscripiton keys                                                                                False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/read                                        Get subscriptions list or Get subscripiton details                                                   False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/regeneratePrimaryKey/action                 Regenerate subscription PK                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/regenerateSecondaryKey/action               Regenerate subscription SK                                                                           False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/subscriptions/write                                       Subscribe to product or Update subscription                                                          False
Microsoft API Management                                     Microsoft.ApiManagement/service/workspaces/write                                                     Add Workspace or Update Workspace                                                                    False
Microsoft API Management                                     Microsoft.ApiManagement/service/write                                                                Create or Update API Management Service instance                                                     False
Microsoft API Management                                     Microsoft.ApiManagement/unregister/action                                                            Un-register Microsoft.ApiManagement resource provider                                                False
Microsoft Apps                                               microsoft.app/containerapps/authconfigs/delete                                                       Delete Container App Auth Configuration                                                              False
Microsoft Apps                                               microsoft.app/containerapps/authconfigs/read                                                         Read Container App Auth Configuration                                                                False
Microsoft Apps                                               microsoft.app/containerapps/authconfigs/write                                                        Create or Update Container App Auth Configuration                                                    False
Microsoft Apps                                               microsoft.app/containerapps/authtoken/action                                                         Auth Token for Container App Dev APIs                                                                False
Microsoft Apps                                               microsoft.app/containerapps/delete                                                                   Delete Container App                                                                                 False
Microsoft Apps                                               microsoft.app/containerapps/detectors/read                                                           Read Container App Detector                                                                          False
Microsoft Apps                                               microsoft.app/containerapps/listcustomhostnameanalysis/action                                        List Container App Custom Host Name Anaylysis                                                        False
Microsoft Apps                                               microsoft.app/containerapps/listsecrets/action                                                       List Container App Secrets                                                                           False
Microsoft Apps                                               microsoft.app/containerapps/read                                                                     Read Container App                                                                                   False
Microsoft Apps                                               microsoft.app/containerapps/revisions/activate/action                                                Activate Container App Revision                                                                      False
Microsoft Apps                                               microsoft.app/containerapps/revisions/deactivate/action                                              Deactivate Container App Revision                                                                    False
Microsoft Apps                                               microsoft.app/containerapps/revisions/read                                                           Read Container App Revision                                                                          False
Microsoft Apps                                               microsoft.app/containerapps/revisions/replicas/read                                                  Read Container App Revision Replica                                                                  False
Microsoft Apps                                               microsoft.app/containerapps/revisions/restart/action                                                 Restart Container App Revision                                                                       False
Microsoft Apps                                               microsoft.app/containerapps/sourcecontrols/delete                                                    Delete Container App Source Control                                                                  False
Microsoft Apps                                               microsoft.app/containerapps/sourcecontrols/operationresults/read                                     Get Container App Source Control Operation Result                                                    False
Microsoft Apps                                               microsoft.app/containerapps/sourcecontrols/read                                                      Get Container App Source Control                                                                     False
Microsoft Apps                                               microsoft.app/containerapps/sourcecontrols/write                                                     Create or Update Container App Source Control                                                        False
Microsoft Apps                                               microsoft.app/containerapps/write                                                                    Create or Update Container App                                                                       False
Microsoft Apps                                               microsoft.app/locations/containerappoperationresults/read                                            Read Container App Operation Result                                                                  False
