ProviderNamespace                                            Operation                                                                                            OperationName                                                                                        IsDataAction
Microsoft Addons                                             Microsoft.Addons/supportProviders/listsupportplaninfo/action                                         List support plan information.                                                                       False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/delete                                            Removes the Canonical support plan                                                                   False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/read                                              Get Canonical support plan state                                                                     False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/write                                             Adds a Canonical support plan.                                                                       False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/action                                                  Create a new forest.                                                                                 False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read                             Gets all servers.                                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/alerts/read                                             Gets alerts for the forest.                                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/configuration/read                                      Gets Service Configuration for the forest.                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/delete                                                  Deletes a Service.                                                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/dimensions/read                                         Gets the domains and sites details for the forest.                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/features/userpreference/read                            Gets the user preference setting.                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/forestsummary/read                                      Gets forest summary.                                                                                 False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/metricmetadata/read                                     Gets the list of supported metrics for a given service.                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/metrics/groups/read                                     Gets information about different service metrics.                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/premiumcheck/read                                       Gets onboarded ADDomainServices for a premium tenant.                                                False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/read                                                    Gets Service details.                                                                                False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/replicationdetails/read                                 Gets replication details.                                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/replicationstatus/read                                  Gets replication error status.                                                                       False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/replicationsummary/read                                 Gets domain controller replication summary.                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/servicemembers/action                                   Add a server.                                                                                        False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read                         Gets the credentials for service authentication.                                                     False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/servicemembers/delete                                   Deletes a server.                                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/write                                                   Creates or Updates the ADDomainService.                                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/configuration/action                                                 Updates Tenant Configuration.                                                                        False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/configuration/read                                                   Reads Tenant Configuration.                                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/configuration/write                                                  Creates a new Tenant.                                                                                False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/logs/contents/read                                                   Gets the content of a log stored in blob.                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/logs/read                                                            Gets agent logs.                                                                                     False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/operations/read                                                      Gets operations.                                                                                     False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/register/action                                                      Registers the ADHybrid Health Service Resource Provider.                                             False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/availabledeployments/read                                    Gets list of available regions for DevOps.                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/badpassword/read                                             Gets the list of bad password attempts.                                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read                            Gets Blob SAS Uri for enqueued report job.                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read                                Gets the list of DevOps consented tenants.                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/isdevops/read                                                Gets a value indicating wheather the teannt is DevOps Consented or not.                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/selectdevopstenant/read                                      Updates userid(objectid) for the selected dev ops tenant.                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/selecteddeployment/read                                      Gets selected deployment.                                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read                                Gets tenant storage mapping.                                                                         False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read                                Gets the browsing location for the users.                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/action                                                      Updates a service.                                                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/alerts/read                                                 Reads the service alerts.                                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/alerts/read                                                 Reads the service alerts.                                                                            False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read                        Gets if a feature is enabled for a service.                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/services/delete                                                      Deletes service.                                                                                     False
