ProviderNamespace                                        ProviderName                             FeatureName
Microsoft Cache                                          Microsoft.Cache                          itn-59fe8ab9-6707-4b3c-afb0-f5ed4214b531
Microsoft.StorageMover                                   Microsoft.StorageMover                   db-c88bf702-9a3e-4962-a15d-dbc3c3a8f42f
Microsoft.Kusto                                          microsoft.kusto                          itn-e02603c6-3469-498a-994c-b0df4ceae1d0
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowEventHubPreview
Microsoft Container Service                              microsoft.ContainerService               EnableImageIntegrityPreview
Azure Red Hat OpenShift                                  Microsoft.RedHatOpenShift                PreconfiguredNSG
Microsoft.ProviderHub                                    Microsoft.ProviderHub                    RPaaSRunner
Microsoft ContainerRegistry                              Microsoft.ContainerRegistry              ArchiveBeta
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT4.UKSouth
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               MultiDiskCrashConsistent
Microsoft Network                                        Microsoft.Network                        EnableOptimizedNetworkSecurityGroups
Microsoft.DatabaseWatcher                                Microsoft.DatabaseWatcher                DatabaseWatcherCanaryAccess
Microsoft Maintenance Service                            Microsoft.Maintenance                    InGuestPatchPrePostMaintenanceActivity
Microsoft Network                                        Microsoft.Network                        UseAnmForPublish
Microsoft HybridCompute                                  Microsoft.HybridCompute                  HybridComputePreview
Microsoft Compute                                        Microsoft.Compute                        VmssFlexScaleInPolicyPreview
Microsoft Azure Lab Services                             Microsoft.LabServices                    AllowLegacySkus
Microsoft Azure Lab Services                             Microsoft.LabServices                    AllowAlternativeSkus
Microsoft Event Grid                                     Microsoft.EventGrid                      ilc-9abfce26-7dfa-49fe-9a8d-a3d6cb13afd6
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAIModels.text-embedding-ada-002.WestEurope
Microsoft Network                                        Microsoft.Network                        AllowDropUnecryptedVnet
Microsoft.Maps                                           Microsoft.Maps                           addfeaturesnoexpansion
Microsoft Compute                                        Microsoft.Compute                        BakedInExtensionsPublishing
Microsoft Azure Monitor                                  microsoft.insights                       SqrMigration
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoMultipleUsers
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoUsersLimit10
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoUsersLimit50
-                                                        Microsoft.BakeryUnmanaged                RPaaSRunner
-                                                        Microsoft.BakeryHybrid                   RPaaSRunner
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFLargeVolumesMinSize
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFStdToBasicNetworkFeaturesRevert
Microsoft Compute                                        Microsoft.Compute                        VmssFlexRollingUpgrade
Microsoft Container Instance                             Microsoft.ContainerInstance              itn-7189fb51-dab4-404e-a38a-ba138ac9ce42
Microsoft Storage                                        Microsoft.Storage                        Enable8TBForFiles
Microsoft.Kusto                                          Microsoft.Kusto                          EnableDatabasesCmk
Microsoft Cognitive Services                             Microsoft.CognitiveServices              Face.ExtendedLegacy
Microsoft.Maps                                           Microsoft.Maps                           testhooks
Microsoft Automanage                                     Microsoft.Automanage                     AutomanageProfileStacking
Microsoft Event Grid                                     Microsoft.EventGrid                      December2023Features
Microsoft.Kusto                                          Microsoft.Kusto                          ZonalMigrationOnboarding
Microsoft Automanage                                     Microsoft.Automanage                     PrivatePreviewUpdateManagementV2
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enablePrivateEndpointPublicPreview
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableConnect
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowNexus
Microsoft Compute                                        Microsoft.Compute                        ImageSkuGenUpdateWithoutTLInVMSS
Microsoft.EdgeMarketplace                                Microsoft.EdgeMarketPlace                intAccess
Microsoft.EdgeMarketplace                                Microsoft.EdgeMarketPlace                dogfoodAccess
Microsoft.Easm                                           Microsoft.Easm                           DeltaAccess
Microsoft Container Service                              microsoft.ContainerService               ClusterCostAnalysis
Microsoft.ProviderHub                                    Microsoft.ProviderHub                    UnmanagedAndHybridRegistrationSupport
Microsoft.Quantum                                        Microsoft.Quantum                        QuantumGermany
Microsoft Network                                        Microsoft.Network                        DisableYieldingCSESLBIPConfigs
Microsoft Network                                        Microsoft.Network                        NMNetworkGroupIpAggregator
Microsoft Apps                                           Microsoft.App                            DedicatedGPUPreview
-                                                        Microsoft.MobilePacketCore               AllowMobilePacketCoreBasicCustomer
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowNasReroute
Microsoft Automanage                                     Microsoft.Automanage                     AutomanageAlertsEnabled
Microsoft Container Instance                             Microsoft.ContainerInstance              NoPreprovisionedContainers
Microsoft Compute                                        Microsoft.Compute                        RestorePointNodeBasedSchedule
Microsoft.Scom                                           Microsoft.SCOM                           TestingEnvironment
Microsoft Batch                                          Microsoft.Batch                          ilc-58aa8ff2-5d53-444a-8026-1610fb23c30f
Microsoft.AwsConnector                                   Microsoft.AwsConnector                   publicCloudPreviewAccess
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT-Turbo.CentralUS
Microsoft Compute                                        Microsoft.Compute                        PreprovisionedVMEscrow.SkipForceRunningVMsForHibernationEnabled
Microsoft Network                                        Microsoft.Network                        ARMThrottle2x
Microsoft Network                                        Microsoft.Network                        ARMThrottle3x
Microsoft Network                                        Microsoft.Network                        AvnmIpAggregator
Microsoft Container Instance                             Microsoft.ContainerInstance              GetsPreprovisionedContainers
Microsoft Cache                                          Microsoft.Cache                          ilc-59fe8ab9-6707-4b3c-afb0-f5ed4214b531
Microsoft Compute                                        Microsoft.Compute                        BestEffortBuildoutReplication
Microsoft Compute                                        Microsoft.Compute                        GalleryPublishingPatchingInformation
Microsoft Compute                                        Microsoft.Compute                        DistributingCopyV2Load
Microsoft Search                                         Microsoft.Search                         ilc-28d32201-d1ad-47ab-9a4a-3de2dcb6ea2a
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableHidingPostgreSqlVersion15Preview
Microsoft Storage                                        Microsoft.Storage                        HnsDirectorySnapshot
Microsoft Container Instance                             Microsoft.ContainerInstance              ilc-7189fb51-dab4-404e-a38a-ba138ac9ce42
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFFetchQuotaReport
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowSessionHighAvailability
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowEdgeLogBackhaul
Microsoft Network                                        Microsoft.Network                        CloudServiceIdILPIPEnabled
Microsoft Network                                        Microsoft.Network                        DisableUpdateOfCloudServiceILPIPId
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableReplicaResourceGroup
Microsoft Azure Lab Services                             Microsoft.LabServices                    AllowV2MigrationTool
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT4.CentralUS
Microsoft Network                                        Microsoft.Network                        AllowAppGwWafHttpDdosRuleSet
Microsoft Key Vault                                      Microsoft.KeyVault                       PreferHsmPlatformTwo
Microsoft Key Vault                                      Microsoft.KeyVault                       PreferHsmPlatformOne
Microsoft.Edge                                           Microsoft.Edge                           PreviewAccess
Microsoft Compute                                        Microsoft.Compute                        OSUpgradeWithDirectSharedGalleryImage
Microsoft Storage                                        Microsoft.Storage                        HNSChangeFeed
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               AzureBackupForSQLOnArc
Microsoft Cache                                          Microsoft.Cache                          bras-09976aa4-e123-47e9-a515-51cac2ffc3af
Microsoft Compute                                        Microsoft.Compute                        SupportHybridStorageAccountType
Microsoft Azure Stream Analytics                         Microsoft.StreamAnalytics                JobAvailabilityPreview
Microsoft Network                                        Microsoft.Network                        AllowAppGwWafJSChallengeAction
Microsoft Compute                                        Microsoft.Compute                        PV2AsOSDiskPOC
Microsoft Network                                        Microsoft.Network                        AllowHyperNetLite
Microsoft Compute                                        Microsoft.Compute                        PV2ZonalVMDiskColocation
Microsoft.DataProtection                                 Microsoft.DataProtection                 InternalBlobADLSBackup
Microsoft.AVS                                            Microsoft.AVS                            ConveyorEscRswUpgrade
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAIModels.dv3.SwedenCentral
Microsoft Network                                        Microsoft.Network                        AllowNspLink
Microsoft Network                                        Microsoft.Network                        DisableNspPushNotifications
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT-Turbo-0301.CentralUS
Microsoft Network                                        Microsoft.Network                        AllowVnetEncryptionUseForMerlinSub
Microsoft.Kusto                                          Microsoft.Kusto                          VnetMigrationOnboarding
Microsoft Network                                        Microsoft.Network                        UseForAnmBootstrapTesting
Microsoft Compute                                        Microsoft.Compute                        IncludeSubscriptionBasedPoliciesInRateLimitHeader
Microsoft App Configuration                              Microsoft.AppConfiguration               ilc-45a7d954-eede-467d-b4f9-1f77feeec23c
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT4.Regions.2308
-                                                        Microsoft.KX                             PrivatePreview
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationILC
Microsoft Compute                                        Microsoft.Compute                        SBTPoliciesInRBTRateLimitHeader
Microsoft.ConnectedCredentials                           Microsoft.ConnectedCredentials           PreviewAccess
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationESC
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationMXC
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationTWN
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationTWNW
Microsoft Storage                                        Microsoft.Storage                        Nfsv3WritesOnRestCreatedBlobs
Microsoft Apps                                           Microsoft.App                            SessionsPreview
Microsoft.ModSimWorkbench                                Microsoft.ModSimWorkbench                TestInProduction
Microsoft Container Instance                             Microsoft.ContainerInstance              ContainerPreProvisioningServiceSubscription
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDelivery
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDeliveryForPartnerBundle
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDeliveryForTenantBundle
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDeliveryForAdminBundle
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDeliveryForCachePurgeBundle
Microsoft.Cdn                                            Microsoft.Cdn                            EnableRpConfigDeliveryForCertificateBindingBundle
Microsoft Storage                                        Microsoft.Storage                        AllowPublishingIPv6Endpoints
Virtual Machine Image Builder                            Microsoft.VirtualMachineImages           itn-4b8d3bdc-e2d1-4b44-ba4f-b0fbcb18960f
Microsoft.AzureImageTestingForLinux                      Microsoft.AzureImageTestingForLinux      JobAndJobTemplateCrud
Microsoft.Cdn                                            Microsoft.Cdn                            EnableTenantShardingPreview
Microsoft Network                                        Microsoft.Network                        esc-dc78f5b1-c8bc-4ae1-82c4-c297e2dc2832
Microsoft Network                                        Microsoft.Network                        mxc-dc78f5b1-c8bc-4ae1-82c4-c297e2dc2832
Microsoft Network                                        Microsoft.Network                        twn-dc78f5b1-c8bc-4ae1-82c4-c297e2dc2832
Microsoft Network                                        Microsoft.Network                        twnw-dc78f5b1-c8bc-4ae1-82c4-c297e2dc2832
Microsoft Data Factory                                   Microsoft.DataFactory                    itn-f76de4a1-629f-4651-9d76-1d7b56544f3c
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  Allow-2023-09-01
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFQuotaLimit
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFHANAVolumeGroupExtension1
Microsoft.MixedReality                                   Microsoft.MixedReality                   MRMapsPrivatePreview
Microsoft.Cdn                                            Microsoft.Cdn                            BypassForbidAkamaiEndpointCreation
Microsoft.AVS                                            Microsoft.AVS                            ElasticSanDatastore
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAIModels.dv3.CentralUS
Microsoft Network                                        Microsoft.Network                        AllowAnmPLPingmeshForPublish
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT-Turbo-0301.SwedenCentral
Microsoft Compute                                        Microsoft.Compute                        VMHibernationPreview
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoPEC
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoPITR
Microsoft.Kusto                                          Microsoft.Kusto                          SandboxCustomImage
Microsoft.Easm                                           Microsoft.Easm                           AssetChainBasedManagementAccess
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     universalGeoRestore
Microsoft.Cdn                                            Microsoft.Cdn                            BypassCPPartnerDeletionForMigrated1PProfile
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFRepatriateCoolData
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev
Microsoft Azure Monitor                                  microsoft.insights                       PlatformMetricsAMPLS
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enablePrivateDnsZoneLink
Microsoft Automanage                                     Microsoft.Automanage                     AutomanageAzureMonitoringAgent
Microsoft Event Grid                                     Microsoft.EventGrid                      NetworkSecurityPerimeterFeature2023
Microsoft Data Factory                                   Microsoft.DataFactory                    ilc-f76de4a1-629f-4651-9d76-1d7b56544f3c
Microsoft Compute                                        Microsoft.Compute                        RollingUpgradeDeferral
Microsoft.AzureSphere                                    Microsoft.AzureSphere                    canary
Microsoft.AlertsManagement                               microsoft.alertsmanagement               PrometheusRpNewRegion
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowEventHubArmAPI
Microsoft Azure Lab Services                             Microsoft.LabServices                    AllowVmssFlex
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           cny001wus2
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           betaAccess
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           cny001eus2euap
Microsoft Event Grid                                     Microsoft.EventGrid                      NamespaceTopicAsDestination
Microsoft Apps                                           Microsoft.App                            OpenTelemetryPreview
Microsoft Container Service                              microsoft.ContainerService               NodeAutoProvisioningPreview
Microsoft Compute                                        Microsoft.Compute                        UsePreprovisioningForConfidentialVMsWithCMK
Microsoft Compute                                        Microsoft.Compute                        RestorePointResourceBasedCustomThrottling
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowIPsec
Microsoft.DeviceUpdate                                   Microsoft.DeviceUpdate                   AzureDeviceUpdateGen2
Microsoft.AzureImageTestingForLinux                      Microsoft.AzureImageTestingForLinux      CanaryCoverage
Microsoft.AzureImageTestingForLinux                      Microsoft.AzureImageTestingForLinux      EUAPParticipation
Microsoft Marketplace                                    microsoft.marketplace                    DiscoveryApiKeyEarlyAccess
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           EUAPParticipation
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           internalTesting
Microsoft ContainerRegistry                              Microsoft.ContainerRegistry              DeprecatedAPI
Microsoft Network                                        Microsoft.Network                        EnableServiceTagsInNsp
Microsoft Network                                        Microsoft.Network                        SupportReservePublicIpAddressForCSES
Microsoft Network                                        Microsoft.Network                        SupportDisassociateReservedPublicIpForCSES
-                                                        Microsoft.PortalServices                 DashboardPrivatePreview
Microsoft Compute                                        Microsoft.Compute                        CreateEmptyUpdateGroupForLatestModelWithNoVMs
Microsoft Container Instance                             Microsoft.ContainerInstance              blockExec
Microsoft Compute                                        Microsoft.Compute                        SingleFDAttachDetachVMToVmss
Microsoft Container Service                              microsoft.ContainerService               OSSKUMigrationPreview
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  allowMultiSite
Microsoft Azure Monitor                                  Microsoft.Insights                       PlatformMetricsAMPLSCloudService
                                                         Private.ALTSTest                         EUAPParticipation
                                                         Private.ALTSTest                         JobandJobTemplateCrud
Microsoft Network                                        Microsoft.Network                        AllowIpAddressManager
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowAks
Microsoft Compute                                        Microsoft.Compute                        ConfidentalVMAllowFullDiskEncryptionVmss
Microsoft Logic                                          Microsoft.Logic                          AllowWorkflowWithUnlimitedActions
Azure Log Analytics                                      Microsoft.OperationalInsights            SummaryLogs
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-S2-Translator
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-S3-Translator
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-S4-Translator
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-F0-AnomalyDetector-Preview
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-F0-AnomalyDetector
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-S0-AnomalyDetector
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-MetricsAdvisor
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-F0-Personalizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-S0-Personalizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              AllowExceptions-E0-Personalizer
Microsoft DB for MariaDB                                 Microsoft.DBforMariaDB                   disableSurveyBanner
Microsoft Network                                        Microsoft.Network                        EnableTenantShardingPreview
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  Allow-UAENorth
Microsoft ServiceFabric                                  Microsoft.ServiceFabric                  EarlyFeatureAccess
Microsoft Monitoring                                     Microsoft.Monitor                        preview
Microsoft Compute                                        Microsoft.Compute                        CommunityVMApplications
Microsoft.Cdn                                            Microsoft.Cdn                            ZtnaAmeInt
Microsoft Web Apps                                       Microsoft.Web                            esc-df36aee8-c644-400b-a0ab-fd0f1191211d
Microsoft Event Grid                                     Microsoft.EventGrid                      esc-9abfce26-7dfa-49fe-9a8d-a3d6cb13afd6
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev1
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev2
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev3
Microsoft.NetworkCloud                                   Microsoft.NetworkCloud                   DisableParallelImagePulls
Microsoft Network                                        Microsoft.Network                        EnableMoveWithEnicDependency
Microsoft Event Grid                                     Microsoft.EventGrid                      mxc-9abfce26-7dfa-49fe-9a8d-a3d6cb13afd6
Microsoft Cognitive Services                             Microsoft.CognitiveServices              openAIRegions.WestUS
Microsoft Container Service                              microsoft.ContainerService               AIToolchainOperatorPreview
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANF50GiBVolumeSize
Microsoft Storage                                        Microsoft.Storage                        EnableCrossTenantReplicationForNewStorageAccounts
Microsoft Storage                                        Microsoft.Storage                        EnableSharedKeyAccessForNewStorageAccounts
Microsoft Network                                        Microsoft.Network                        AllowCheckingPrivateEndpointGuidWhenDeletingARecord
Microsoft Storage                                        Microsoft.Storage                        SftpResumableUploads
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableRestoreResourceGroup
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFVolumeLanguage
Microsoft Databricks                                     Microsoft.Databricks                     EnableAMECluster
Microsoft Databricks                                     Microsoft.Databricks                     EnableMSFTCluster
Microsoft Logic                                          Microsoft.Logic                          AllowWorkflowWithLargeNumberOfActions
Microsoft Data Replication                               Microsoft.DataReplication                VMWTOAZStackHCIWAM
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowOfflinePacketCoreUpgrade
Virtual Machine Image Builder                            Microsoft.VirtualMachineImages           ilc-4b8d3bdc-e2d1-4b44-ba4f-b0fbcb18960f
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFConsistencyGroup
Microsoft Container Instance                             Microsoft.ContainerInstance              esc-7189fb51-dab4-404e-a38a-ba138ac9ce42
Microsoft Batch                                          Microsoft.Batch                          esc-58aa8ff2-5d53-444a-8026-1610fb23c30f
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoReplicaInRegion
Microsoft Network                                        Microsoft.Network                        nzn-7ecdbd40-fe6a-4d66-bb95-dab4ee9c8fce
Microsoft Network                                        Microsoft.Network                        ilnw-7ecdbd40-fe6a-4d66-bb95-dab4ee9c8fc
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  VNFTemplateRPPolicingDisabled
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enablePostgreSqlMigrationValidation_private
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enableServerLogs_private
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enableSiteswap_private
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowZeroRating
Microsoft Container Service                              microsoft.ContainerService               AzureMonitorMetricsControlPlanePreview
Microsoft App Configuration                              Microsoft.AppConfiguration               mxc-45a7d954-eede-467d-b4f9-1f77feeec23c
Microsoft Network                                        Microsoft.Network                        AllowZnFeatures
Microsoft Network                                        Microsoft.Network                        EnableRdmaOverConvergedEthernet
Microsoft.AVS                                            Microsoft.AVS                            FleetGreenfield
Microsoft Azure Fleet                                    Microsoft.AzureFleet                     FeatureAccess
Microsoft.AzureStackHCI                                  Microsoft.AzureStackHCI                  IsTVMEnabled
Microsoft DocumentDB                                     Microsoft.DocumentDB                     MongoRUV5
Microsoft DocumentDB                                     Microsoft.DocumentDB                     MongoRUV7
Microsoft.ProviderHub                                    Microsoft.ProviderHub                    BypassZoneRedundantCheck
Microsoft.Mission                                        Microsoft.Mission                        AVE-Test
Microsoft.Mission                                        Microsoft.Mission                        AVE-Dev
-                                                        Microsoft.StorageInsights                privatepreview
Microsoft.ProviderHub                                    Microsoft.ProviderHub                    PartialManifestSupport
Microsoft Network                                        Microsoft.Network                        Test_Feature_Flag
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enablePostgreSqlMigrationValidation_northeurope
Microsoft Cognitive Services                             Microsoft.CognitiveServices              allowProvisionedManagedWithoutCommitment
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev5
Microsoft Container Instance                             Microsoft.ContainerInstance              acidev6
Oracle.Database                                          Oracle.Database                          DefaultFeature
Microsoft Cache                                          Microsoft.Cache                          esc-59fe8ab9-6707-4b3c-afb0-f5ed4214b531
Microsoft Key Vault                                      Microsoft.KeyVault                       ContinuousCertificateRotationValidation
Microsoft DocumentDB                                     Microsoft.DocumentDB                     mongoHnswIndex
Microsoft Network                                        Microsoft.Network                        EnableGetSubnetPartialReads
Microsoft.ProviderHub                                    Microsoft.ProviderHub                    ManifestRollout
MicrosoftElasticSan                                      Microsoft.ElasticSan                     TargetIqnV2
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enablePostgreSqlMigrationValidation_eastus2
Microsoft.Mission                                        Microsoft.Mission                        AVE-Preview
Microsoft Container Service                              microsoft.ContainerService               NodeInitializationTaintsPreview
Microsoft.CloudHealth                                    microsoft.cloudhealth                    PreviewAccess
Microsoft Network                                        Microsoft.Network                        EnableDefaultLoadBalancerPlacementTracking
Microsoft.HDInsight                                      Microsoft.HDInsight                      HiloDevelopment
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Inference.GPT4.SouthCentralUS
Microsoft Compute                                        Microsoft.Compute                        EnableEd25519ForPublicPreview
Microsoft.EdgeMarketplace                                Microsoft.EdgeMarketplace                test001Access
Microsoft.EdgeMarketplace                                Microsoft.EdgeMarketplace                test002Access
Microsoft.EdgeMarketplace                                Microsoft.EdgeMarketplace                test003Access
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  ArtifactImmutabilityCheckEnabled
Microsoft Cognitive Services                             Microsoft.CognitiveServices              OpenAI.Bing
Microsoft DocumentDB                                     Microsoft.DocumentDB                     CrossAccountContainerCopy
Microsoft Network                                        Microsoft.Network                        EnableWAFLogScrubPreview
Microsoft.AVS                                            Microsoft.AVS                            NSXTMGWDisabled
Microsoft DocumentDB                                     Microsoft.DocumentDB                     MicrosoftCopilotForAzureInCDB
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableIops_public
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_eastus
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_eastus2
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_uksouth
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_westeurope
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_australiaeast
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_canadacentral
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_centralindia
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_eastasia
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_francecentral
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_northeurope
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_norwayeast
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_southafricanorth
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_southcentralus
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_swedencentral
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_switzerlandnorth
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_uaenorth
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableAcceleratedLogs_westus3
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enableVirtualEndpoints_public
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enableSiteSwap_public
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowESGs
Microsoft.Impact                                         Microsoft.Impact                         AllowHPCImpactReporting
Microsoft Network                                        Microsoft.Network                        AllowNspGranularRulesForServices
Microsoft Compute                                        Microsoft.Compute                        PublishVmoStateToEventGrid
Microsoft Search                                         Microsoft.Search                         chn-28d32201-d1ad-47ab-9a4a-3de2dcb6ea2a
Microsoft Container Instance                             Microsoft.ContainerInstance              mxc-7189fb51-dab4-404e-a38a-ba138ac9ce42
Microsoft.Workloads                                      Microsoft.Workloads                      AMSInsightPrivatePreview
Microsoft.Cdn                                            Microsoft.Cdn                            GrpcPreviewFeature
Microsoft.Cdn                                            Microsoft.Cdn                            BypassFirstPartyMigrationQuotaCheck
Astronomer.Astro                                         Astronomer.Astro                         PlatformRouting
Microsoft Automation                                     Microsoft.Automation                     DynamicEnvironment
Microsoft                                                Microsoft.SaaS                           RegionalTest
Microsoft Databricks                                     Microsoft.Databricks                     EnableEnhancedSecurityComplianceUX
Microsoft Batch                                          Microsoft.Batch                          mxc-58aa8ff2-5d53-444a-8026-1610fb23c30f
Microsoft.MobileNetwork                                  Microsoft.MobileNetwork                  AllowSideloadPacketCore
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  AOSMBillingDisabled
Microsoft.HealthDataAIServices                           Microsoft.HealthDataAIServices           CanadaCentral
Microsoft Storage                                        Microsoft.Storage                        use-e7878bfb-7270-4f29-804e-6983a4a60397
Microsoft.AVS                                            Microsoft.AVS                            FleetExtendedFaultDomain
Microsoft Compute                                        Microsoft.Compute                        AutoAssignLun
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enableOnlineMigrationsv2_southindia
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                enablePostgreSqlMigrationValidation_eastus2euap
